,,Claude 3.7,,,,,,GPT4o,,,,,,Llama3 (8B),,,,,,,,Gemma3 (27B),,,,,,,,Phi4 (14B),,,,,,,,Llama3.3 (70B),,,,,,Mistral (7B),,,,,,AutoReSpec,,SpecGen,,,,,
Nested Loop,BubbleSort,0.00,0.00,0.00,0.00,10.00,87.50,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,83.08,0.00,,,,,
Nested Loop,BubbleSortDesc,0.00,0.00,0.00,0.00,10.00,90.63,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,88.88,25.00,,,,,
Branched,Calculator,0.00,0.00,20.00,100.00,80.00,100.00,0.00,0.00,0.00,,0.00,0.00,10.00,25.81,0.00,0.00,0.00,0.00,30.00,19.82,0.00,0.00,0.00,0.00,0.00,0.00,10.00,25.81,0.00,0.00,0.00,0.00,10.00,0.00,20.00,23.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,48.605,30.00,,,,,
Branched,CalculatorShuffled,0.00,0.00,0.00,0.00,20.00,100.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,32.80,0.00,0.00,0.00,0.00,10.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,70.37,60.00,,,,,
Sequential,CanWinNim,100.00,85.71,90.00,96.83,100.00,94.29,90.00,85.71,100.00,78.57,100.00,87.14,90.00,0.00,90.00,98.41,90.00,84.13,100.00,58.57,100.00,0.00,100.00,91.43,100.00,85.71,100.00,90.00,70.00,26.53,100.00,78.57,100.00,90.00,100.00,88.57,70.00,61.22,0.00,0.00,40.00,92.86,0.00,0.00,70.00,73.47,20.00,85.71,90.00,85.71,100.00,,,,,
Branched,ChangeCase,80.00,84.09,80.00,94.32,100.00,94.24,80.00,80.68,100.00,94.24,100.00,94.24,70.00,9.03,10.00,12.12,20.00,8.89,80.00,2.80,0.00,0.00,10.00,69.70,20.00,87.88,80.00,82.58,20.00,9.09,0.00,0.00,0.00,0.00,20.00,51.52,10.00,93.94,20.00,87.88,20.00,62.73,0.00,0.00,0.00,0.00,10.00,9.09,90.00,67.88444444,80.00,,,,,
Single-path Loop,CheckABeforeB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,56.00,0.00,0.00,0.00,0.00,10.00,32.00,0.00,0.00,10.00,6.90,0.00,0.00,0.00,30.00,0.00,0.00,10.00,60.00,10.00,56.00,0.00,0.00,0.00,0.00,40.00,55.00,0.00,0.00,10.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,35.00,60.00,,,,,
Multi-path Loop,CompareArray,0.00,0.00,90.00,100.00,100.00,100.00,30.00,100.00,80.00,100.00,90.00,100.00,0.00,0.00,20.00,100.00,0.00,0.00,20.00,31.25,0.00,0.00,0.00,30.56,10.00,70.00,10.00,66.67,0.00,0.00,50.00,88.00,20.00,70.00,20.00,75.00,0.00,0.00,10.00,100.00,30.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,81.51,90.00,,,,,
Sequential,ComputeArea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,60.00,35.48,40.00,33.06,10.00,25.81,80.00,30.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,54.73,10.00,35.48,0.00,0.00,0.00,0.00,0.00,0.00,10.00,44.00,10.00,44.00,70.00,58.68857143,0.00,,,,,
Branched,ComputeAreaBranch,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,20.00,32.35,20.00,32.35,80.00,32.35,100.00,33.14,0.00,0.00,0.00,0.00,0.00,0.00,30.00,53.38,0.00,0.00,0.00,0.00,20.00,32.35,0.00,0.00,10.00,32.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,32.35,40.00,66.5425,0.00,,,,,
Sequential,ComputeOverlap,0.00,0.00,0.00,0.00,10.00,80.00,0.00,0.00,20.00,30.00,0.00,0.00,20.00,20.00,20.00,20.00,60.00,21.67,80.00,34.46,50.00,30.00,80.00,30.00,90.00,30.00,100.00,37.00,0.00,0.00,10.00,30.00,0.00,0.00,20.00,65.20,0.00,0.00,0.00,0.00,0.00,0.00,10.00,20.00,10.00,20.00,20.00,33.33,90.00,39.07333333,0.00,,,,,
Branched,ComputeOverlapBranch,0.00,0.00,70.00,83.33,40.00,81.94,0.00,0.00,10.00,30.00,10.00,83.33,20.00,16.67,20.00,30.56,20.00,23.61,80.00,29.85,20.00,30.56,100.00,30.56,100.00,30.56,100.00,30.56,10.00,16.67,0.00,0.00,0.00,0.00,40.00,43.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,33.33,90.00,30.25111111,0.00,,,,,
Branched,Conjunction,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,80.00,80.00,0.00,70.00,100.00,30.00,100.00,100.00,80.00,0.00,0.00,80.00,100.00,90.00,100.00,100.00,100.00,10.00,100.00,40.00,100.00,70.00,100.00,90.00,88.89,10.00,100.00,80.00,90.63,90.00,100.00,0.00,0.00,60.00,62.50,40.00,45.83,90.00,100,100.00,,,,,
Multi-path Loop,ContainsDuplicate,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,39.58,0.00,0.00,0.00,0.00,0.00,0.00,10.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,63.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,65.625,0.00,,,,,
Sequential,ConvertTemperature,100.00,80.00,80.00,100.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,0.00,50.00,100.00,10.00,100.00,90.00,55.56,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,30.00,33.33,100.00,100.00,80.00,100.00,90.00,100.00,80.00,0.00,30.00,100.00,10.00,100.00,10.00,0.00,10.00,100.00,20.00,100.00,90.00,100,100.00,,,,,
Sequential,ConvertToFahrenheit,10.00,100.00,10.00,100.00,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,2.00,60.00,100.00,50.00,100.00,100.00,70.00,100.00,0.00,100.00,100.00,80.00,100.00,100.00,100.00,30.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,11.11,10.00,100.00,20.00,100.00,0.00,0.00,10.00,0.00,10.00,0.00,90.00,100,100.00,,,,,
Sequential,ConvertToKelvin,80.00,100.00,50.00,100.00,50.00,100.00,90.00,100.00,100.00,90.00,100.00,100.00,50.00,2.50,90.00,77.78,90.00,100.00,100.00,90.00,100.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,50.00,80.00,100.00,100.00,90.00,100.00,90.00,100.00,80.00,50.00,10.00,100.00,30.00,100.00,0.00,0.00,30.00,66.67,20.00,50.00,90.00,100,100.00,,,,,
Single-path Loop,ConvertToTitle,10.00,96.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,10.00,96.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,90.91,0.00,0.00,40.00,71.97,0.00,0.00,0.00,0.00,0.00,0.00,10.00,96.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,68.55,50.00,,,,,
Single-path Loop,CopyArray,20.00,92.31,70.00,89.01,80.00,92.31,100.00,92.31,90.00,87.18,100.00,92.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,61.54,10.00,92.31,50.00,78.39,0.00,0.00,10.00,92.31,0.00,0.00,10.00,69.23,0.00,0.00,20.00,92.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,90,100.00,,,,,
Nested Loop,DigitRoot,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,20.00,69.23,40.00,15.38,0.00,0.00,0.00,0.00,90.00,18.45,0.00,0.00,20.00,46.15,0.00,0.00,0.00,0.00,10.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,20.00,15.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,33.73,90.00,,,,,
Branched,Disjunction,90.00,75.00,100.00,75.00,100.00,75.00,100.00,75.00,100.00,37.50,100.00,60.00,70.00,1.59,40.00,62.50,80.00,40.63,100.00,55.00,100.00,75.00,100.00,75.00,100.00,75.00,100.00,75.00,10.00,0.00,50.00,75.00,90.00,75.00,100.00,62.50,0.00,0.00,10.00,75.00,70.00,71.43,10.00,0.00,30.00,38.89,40.00,62.50,90.00,75,100.00,,,,,
Sequential,DivisorGame,50.00,85.71,100.00,88.57,100.00,87.14,100.00,85.71,100.00,25.71,100.00,77.14,60.00,16.67,70.00,95.92,100.00,80.00,100.00,81.43,100.00,0.00,90.00,87.30,90.00,85.71,100.00,85.71,60.00,14.29,100.00,87.14,100.00,90.00,90.00,87.30,80.00,53.57,100.00,68.57,60.00,95.24,0.00,0.00,80.00,89.29,50.00,88.57,90.00,85.71,100.00,,,,,
Multi-path Loop,DominantIndex,0.00,0.00,20.00,82.61,30.00,78.26,40.00,69.57,20.00,80.43,10.00,95.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,10.00,22.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,73.19,0.00,,,,,
Single-path Loop,EchoIntLoop,0.00,0.00,60.00,87.50,90.00,87.50,100.00,87.50,100.00,87.50,100.00,87.50,30.00,12.50,10.00,87.50,10.00,87.50,100.00,22.11,0.00,0.00,0.00,0.00,20.00,87.50,60.00,85.42,0.00,0.00,30.00,87.50,40.00,87.50,50.00,87.50,40.00,68.75,70.00,87.50,80.00,87.50,0.00,0.00,0.00,0.00,0.00,0.00,90.00,44.3,100.00,,,,,
Single-path Loop,Fibonacci,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,48.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,41.94,0.00,0.00,20.00,26.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,56.34,50.00,,,,,
Multi-path Loop,FindClosestNum,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,24.47,0.00,0.00,0.00,0.00,0.00,0.00,10.00,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,51.492,50.00,,,,,
Multi-path Loop,FindFirstZero,100.00,76.59,100.00,85.84,100.00,81.36,100.00,87.50,100.00,87.50,100.00,87.50,10.00,51.72,10.00,40.63,10.00,46.88,30.00,44.45,0.00,0.00,70.00,78.57,60.00,71.35,100.00,83.21,0.00,0.00,40.00,84.38,70.00,87.50,70.00,77.31,10.00,89.66,40.00,88.58,50.00,86.68,0.00,0.00,0.00,0.00,0.00,0.00,90.00,70.64555556,100.00,,,,,
Branched,FizzBuzz,100.00,100.00,90.00,98.61,100.00,98.75,70.00,87.50,100.00,95.00,90.00,93.06,30.00,0.00,0.00,0.00,10.00,0.00,100.00,2.50,90.00,87.50,60.00,75.00,60.00,87.50,100.00,88.75,30.00,0.00,90.00,77.78,80.00,76.56,90.00,88.89,0.00,0.00,30.00,95.83,70.00,91.07,0.00,0.00,10.00,0.00,0.00,0.00,90.00,77.57888889,90.00,,,,,
Sequential,FizzBuzzSeq,100.00,98.75,100.00,97.50,100.00,98.75,100.00,87.50,100.00,90.00,100.00,95.00,30.00,0.00,10.00,0.00,0.00,0.00,70.00,1.36,70.00,0.00,90.00,79.17,80.00,65.63,90.00,90.28,10.00,0.00,60.00,89.58,90.00,87.50,80.00,87.50,0.00,0.00,50.00,87.50,40.00,85.94,0.00,0.00,0.00,0.00,0.00,0.00,90.00,79.16666667,100.00,,,,,
Multi-path Loop,GCD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,10.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,9.3,0.00,,,,,
Nested Loop,IntCube,10.00,84.00,90.00,84.44,100.00,84.00,60.00,84.00,100.00,84.00,100.00,84.00,40.00,12.00,0.00,0.00,0.00,0.00,70.00,20.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,40.00,0.00,0.00,0.00,0.00,10.00,88.57,0.00,0.00,0.00,0.00,0.00,0.00,80.00,39.9475,20.00,,,,,
Nested Loop,IntSquare,100.00,82.35,100.00,82.35,100.00,82.35,100.00,82.35,100.00,82.35,100.00,82.35,40.00,11.76,0.00,0.00,0.00,0.00,80.00,10.39,0.00,0.00,0.00,0.00,0.00,0.00,60.00,89.63,0.00,0.00,0.00,0.00,0.00,0.00,20.00,72.27,0.00,0.00,40.00,82.35,40.00,82.35,0.00,0.00,0.00,0.00,0.00,0.00,90.00,15.61777778,80.00,,,,,
Multi-path Loop,Inverse,0.00,0.00,60.00,95.83,100.00,93.75,40.00,83.33,100.00,89.58,100.00,87.08,0.00,0.00,20.00,50.00,30.00,55.56,50.00,59.67,0.00,0.00,70.00,80.36,40.00,78.13,80.00,80.73,10.00,62.50,50.00,77.50,50.00,80.00,70.00,79.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,0.00,0.00,70.00,67.26571429,100.00,,,,,
Multi-path Loop,IsAllUnique,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,13.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,13.64,0.00,0.00,10.00,4.55,10.00,13.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,15.87,50.00,,,,,
Multi-path Loop,IsAscending,20.00,94.74,60.00,93.39,30.00,92.05,100.00,92.63,90.00,94.74,80.00,94.74,0.00,0.00,0.00,0.00,0.00,0.00,20.00,35.79,0.00,0.00,10.00,94.74,10.00,94.74,50.00,90.57,0.00,0.00,0.00,0.00,0.00,0.00,30.00,85.96,0.00,0.00,10.00,82.61,30.00,91.23,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.45285714,90.00,,,,,
Sequential,IsBoomerang,0.00,0.00,10.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,45.16,0.00,0.00,20.00,72.58,20.00,72.58,90.00,93.91,0.00,0.00,20.00,67.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,95.94666667,100.00,,,,,
Sequential,IsCommonFactor,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,80.00,98.81,0.00,0.00,40.00,70.83,40.00,22.22,100.00,25.00,80.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,30.00,87.33,60.00,72.22,90.00,84.57,80.00,84.13,20.00,100.00,100.00,100.00,90.00,100.00,0.00,0.00,40.00,66.67,60.00,82.41,90.00,94.40444444,100.00,,,,,
Branched,IsCommonFactorBranch,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,0.00,0.00,60.00,75.00,30.00,62.50,80.00,16.88,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,20.00,87.50,80.00,84.38,80.00,73.44,90.00,87.50,30.00,100.00,70.00,91.07,90.00,90.28,0.00,0.00,40.00,76.23,20.00,87.50,90.00,88.19444444,100.00,,,,,
Sequential,IsCommonMultiple,100.00,100.00,100.00,100.00,100.00,100.00,90.00,93.83,90.00,98.77,80.00,98.61,0.00,0.00,100.00,21.67,80.00,11.11,100.00,54.44,30.00,100.00,60.00,100.00,100.00,98.89,100.00,100.00,20.00,100.00,70.00,91.27,40.00,90.28,80.00,71.53,50.00,80.00,90.00,100.00,70.00,100.00,0.00,0.00,90.00,88.89,70.00,78.23,90.00,96.29444444,100.00,,,,,
Branched,IsCommonMultipleBranch,80.00,100.00,100.00,96.25,100.00,100.00,80.00,90.63,80.00,96.88,80.00,98.44,0.00,0.00,10.00,12.50,30.00,87.50,60.00,22.08,0.00,0.00,70.00,98.21,90.00,98.61,100.00,100.00,0.00,0.00,60.00,100.00,90.00,80.56,80.00,84.90,30.00,91.67,50.00,100.00,80.00,100.00,0.00,0.00,30.00,87.50,10.00,87.50,90.00,91.66666667,100.00,,,,,
Multi-path Loop,IsDescending,50.00,83.51,80.00,92.72,40.00,92.72,90.00,94.74,90.00,94.74,100.00,94.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,94.74,20.00,89.47,10.00,94.74,40.00,94.39,0.00,0.00,0.00,0.00,0.00,0.00,40.00,89.47,0.00,0.00,0.00,0.00,20.00,85.65,0.00,0.00,0.00,0.00,0.00,0.00,70.00,71.16285714,90.00,,,,,
Multi-path Loop,IsMonotonic,0.00,0.00,20.00,96.30,40.00,88.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,25.93,0.00,0.00,0.00,0.00,0.00,73.68,0.00,0.00,10.00,66.67,0.00,0.00,0.00,0.00,10.00,81.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.49142857,80.00,,,,,
Single-path Loop,IsOneBitCharacter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,5.26,0.00,0.00,0.00,0.00,0.00,81.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,74.21,30.00,,,,,
Multi-path Loop,IsPalindrome,70.00,93.33,50.00,90.95,20.00,86.67,80.00,86.67,100.00,80.00,100.00,86.28,60.00,20.00,10.00,80.00,10.00,20.00,90.00,18.24,0.00,0.00,0.00,0.00,0.00,0.00,60.00,89.47,40.00,51.67,0.00,0.00,0.00,0.00,10.00,93.33,0.00,0.00,50.00,85.33,60.00,87.78,0.00,0.00,0.00,0.00,0.00,0.00,60.00,54.86833333,90.00,,,,,
Multi-path Loop,IsPrefix,0.00,0.00,50.00,88.42,50.00,85.26,20.00,68.42,60.00,85.09,50.00,78.95,50.00,5.26,10.00,78.95,10.00,36.84,90.00,15.79,0.00,0.00,10.00,47.37,10.00,73.68,50.00,52.15,0.00,0.00,10.00,73.68,20.00,73.68,60.00,60.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,23.945,90.00,,,,,
Multi-path Loop,IsSubsequence,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,83.33,0.00,0.00,60.00,7.48,0.00,0.00,10.00,5.56,60.00,9.81,0.00,0.00,0.00,0.00,0.00,81.20,0.00,0.00,10.00,5.56,0.00,0.00,0.00,0.00,20.00,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,17.50,60.00,11.88,90.00,,,,,
Multi-path Loop,IsSuffix,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,80.65,80.00,16.13,0.00,0.00,10.00,16.13,10.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,48.71,90.00,,,,,
Nested Loop,JewelsInStones,0.00,0.00,0.00,0.00,0.00,0.00,10.00,18.18,20.00,22.73,10.00,27.27,20.00,18.18,10.00,18.18,0.00,0.00,100.00,20.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,18.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,23.47625,60.00,,,,,
Multi-path Loop,LCM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,13.24,0.00,0.00,0.00,0.00,10.00,2.13,10.00,13.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,31.05,0.00,,,,,
Multi-path Loop,LargestPerimeter,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,33.29,0.00,0.00,0.00,0.00,0.00,0.00,10.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,31.04,50.00,,,,,
Branched,LeapYear,100.00,90.80,100.00,89.60,100.00,90.80,90.00,80.00,100.00,84.80,100.00,89.60,50.00,0.00,20.00,80.00,10.00,80.00,100.00,48.00,70.00,0.00,70.00,83.43,100.00,81.20,100.00,82.40,80.00,62.50,100.00,77.60,90.00,79.11,100.00,68.00,0.00,0.00,50.00,80.00,80.00,83.00,0.00,0.00,10.00,0.00,30.00,85.44,90.00,68.88888889,100.00,,,,,
